GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D_rtc,100,91125,45.000,2.000,2,1.000,190.560,7.690,152.433,0.002,0.031,1.516
TITAN V,1,0,circles_spatial3D,100,182250,45.000,2.000,0,2.000,378.644,0.002,882.025,0.002,0.036,8.812
TITAN V,1,0,circles_spatial3D,100,182250,45.000,2.000,1,2.000,378.766,0.002,879.476,0.002,0.035,8.787
TITAN V,1,0,circles_spatial3D,100,182250,45.000,2.000,2,2.000,379.425,0.002,881.396,0.002,0.035,8.806
TITAN V,1,0,circles_spatial3D_rtc,100,182250,45.000,2.000,0,2.000,378.644,7.846,526.588,0.002,0.032,5.258
TITAN V,1,0,circles_spatial3D_rtc,100,182250,45.000,2.000,1,2.000,378.766,7.844,526.262,0.002,0.034,5.254
TITAN V,1,0,circles_spatial3D_rtc,100,182250,45.000,2.000,2,2.000,379.425,7.870,528.761,0.002,0.041,5.279
TITAN V,1,0,circles_spatial3D,100,273375,45.000,2.000,0,3.000,568.087,0.003,1785.352,0.002,0.040,17.845
TITAN V,1,0,circles_spatial3D,100,273375,45.000,2.000,1,3.000,567.644,0.003,1777.242,0.002,0.046,17.764
TITAN V,1,0,circles_spatial3D,100,273375,45.000,2.000,2,3.000,568.779,0.003,1789.482,0.002,0.046,17.886
TITAN V,1,0,circles_spatial3D_rtc,100,273375,45.000,2.000,0,3.000,568.087,8.022,1152.157,0.002,0.043,11.513
